vol.	page	parva	adhy.	from v.	to v.	ipage	
6	348	13	132	1	16	169a	
6	349	13	132	17	17	169b	
6	349	13	133	1	9	169b	
6	349	13	134	1	11	169b	
6	350	13	134	12	17	170a	
6	350	13	135	1	15	170a	
6	351	13	135	16	21	170b	
6	351	13	136	1	15	170b	
6	352	13	136	16	25	171a	
6	352	13	137	1	8	171a	
6	353	13	137	9	29	171b	
6	354	13	137	30	32	172a	
6	354	13	138	1	11	172a	
6	354	13	139	1	6	172a	
6	355	13	139	7	31	172b	
6	356	13	139	32	50	173a	
6	356	13	140	1	3	173a	
6	357	13	140	4	29	173b	
6	358	13	140	30	51	174a	
6	359	13	141	1	16	174b	
6	360	13	141	17	39	175a	
6	361	13	141	40	63	175b	
6	362	13	141	64	87	176a	
6	363	13	141	88	106	176b	
6	364	13	141	107	115	177a	
6	364	13	142	1	12	177a	
6	365	13	142	13	34	177b	
6	366	13	142	35	56	178a	
6	367	13	142	57	59	178b	
6	367	13	143	1	19	178b	
6	368	13	143	20	43	179a	
6	369	13	143	44	59	179b	
6	369	13	144	1	5	179b	
6	370	13	144	6	28	180a	
6	371	13	144	29	53	180b	
6	372	13	144	54	60	181a	
6	372	13	145	1	15	181a	
6	373	13	145	16	39	181b	
6	374	13	145	40	63	182a	
6	375	13	145	64	64	182b	
6	375	13	146	1	20	182b	
6	376	13	146	21	42	183a	
6	377	13	146	43	61	183b	
6	377	13	147	1	1	183b	
6	378	13	147	2	27	184a	
6	379	13	147	28	50	184b	
6	380	13	147	51	62	185a	
6	380	13	148	1	8	185a	
6	381	13	148	9	33	185b	
6	382	13	148	34	57	186a	
6	383	13	148	58	66	186b	
6	383	13	149	1	13	186b	
6	384	13	149	14	37	187a	
6	385	13	149	38	60	187b	
6	386	13	149	61	85	188a	
6	387	13	149	86	110	188b	
6	388	13	149	111	135	189a	
6	389	13	149	136	142	189b	
6	389	13	151	1	12	189b	
6	390	13	151	13	36	190a	
6	391	13	151	37	61	190b	
6	392	13	151	62	82	191a	
6	393	13	152	1	22	191b	
6	394	13	152	23	23	192a	
6	394	13	153	1	19	192a	
6	395	13	153	20	28	192b	
6	395	13	154	1	10	192b	
6	396	13	154	11	19	193a	
