(4,29,13)	1
(4,29,18)	1
(4,29,19)	1
(4,29,40)	1
(4,29,45)	1
(4,29,47)	4
(4,29,49)	1
(4,29,54)	1
(4,29,72)	1
(4,30,38)	1
(4,31,22)	1
(5,1,8)	1
(5,1,21)	2
(5,1,25)	2
(5,1,27)	1
(5,2,10)	1
(5,2,16)	1
(5,2,20)	1
(5,3,3)	1
(5,3,9)	1
(5,3,11)	1
(5,3,14)	1
(5,3,17)	1
(5,4,1)	1
(5,4,11)	1
(5,4,12)	1
(5,4,13)	1
(5,5,1)	1
(5,5,3)	1
(5,5,22)	1
(5,5,28)	1
(5,5,31)	2
(5,5,32)	2
(5,5,34)	2
(5,6,2)	1
(5,6,6)	2
(5,6,8)	1
(5,7,9)	1
(5,7,11)	1
(5,7,13)	2
(5,8,18)	1
(5,8,26)	1
(5,9,5)	1
(5,9,6)	1
(5,9,12)	1
(5,9,13)	1
(5,9,18)	1
(5,9,19)	3
(5,9,21)	1
(5,10,10)	2
(5,10,14)	1
(5,10,15)	1
(5,12,15)	1
(5,13,6)	1
(5,13,10)	1
(5,13,20)	1
(5,14,1)	1
(5,14,2)	1
(5,14,5)	1
(5,14,9)	1
(5,14,11)	1
(5,14,12)	1
(5,14,14)	1
(5,14,19)	1
(5,14,21)	1
(5,14,25)	1
(5,16,6)	1
(5,16,16)	2
(5,16,20)	1
(5,16,28)	2
(5,17,1)	1
(5,17,8)	1
(5,17,9)	2
(5,17,12)	1
(5,17,24)	1
(5,18,4)	1
(5,18,5)	1
(5,18,15)	1
(5,18,30)	1
(5,18,31)	1
(5,18,33)	1
(5,19,25)	1
(5,19,30)	1
(5,20,2)	2
(5,20,3)	3
(5,20,4)	1
(5,20,9)	2
(5,20,11)	1
(5,20,15)	1
(5,20,16)	4
(5,20,21)	3
(5,20,22)	2
(5,20,25)	1
(5,20,26)	2
(5,20,27)	2
(5,20,30)	1
(5,20,45)	1
(5,21,9)	1
(5,21,15)	2
(5,22,1)	1
(5,22,5)	1
(5,22,8)	2
(5,22,14)	1
(5,23,1)	1
(5,23,3)	1
(5,23,8)	1
