<L>1515<pc>1-018-c<k1>aqa<k2>°aqa	{#°aqa#}
<L>15813<pc>1-187-a<k1>AlamBin<k2>°AlamBin	{#°AlamBin#}

<L>15880<pc>1-188-a<k1>Alokin<k2>°Alokin	{#°Alokin#}

<L>15975<pc>1-189-b<k1>AvAsin<k2>°AvAsin	{#°AvAsin#}

<L>16029<pc>1-189-c<k1>Avedaka<k2>°Avedaka	{#°Avedaka#}

<L>16032<pc>1-190-a<k1>Avedin<k2>°Avedin	{#°Avedin#}

<L>16039<pc>1-190-a<k1>AveSavant<k2>°AveSavant	{#°AveSavant#}

<L>16066<pc>1-190-b<k1>ASaMsin<k2>°ASaMsin	{#°ASaMsin#}

<L>16122<pc>1-191-a<k1>ASin<k2>°ASin	{#°ASin#}

<L>17440<pc>1-212-a<k1>Ikzin<k2>°Ikzin	{#°Ikzin#}

<L>17446<pc>1-212-a<k1>INKaya<k2>°INKaya	{#°INKaya#}

<L>17840<pc>1-217-c<k1>ucCedin<k2>°ucCedin	{#°ucCedin#}

<L>17895<pc>1-218-c<k1>ujJa<k2>°ujJa	{#°ujJa#}

<L>18017<pc>1-220-a<k1>utkira<k2>°utkira	{#°utkira#}

<L>18029<pc>1-220-a<k1>utkutuka<k2>°utkutuka	{#°utkutuka#}

<L>18421<pc>1-225-a<k1>utpAwin<k2>°utpAwin	{#°utpAwin#}

<L>18540<pc>1-226-c<k1>utsekya<k2>°utsekya	{#°utsekya#}

<L>19178<pc>1-234-b<k1>udruja<k2>°udruja	{#°udruja#}

<L>19181<pc>1-234-b<k1>udrecaka<k2>°udrecaka	{#°udrecaka#}

<L>19199<pc>1-234-c<k1>udvartin<k2>°udvartin	{#°udvartin#}

<L>19217<pc>1-235-a<k1>udvAmin<k2>°udvAmin	{#°udvAmin#}

<L>19332<pc>1-236-b<k1>unmATin<k2>°unmATin	{#°unmATin#}

<L>19348<pc>1-236-b<k1>unmiSra<k2>°unmiSra	{#°unmiSra#}

<L>19449<pc>1-237-c<k1>upaga<k2>°upaga	{#°upaga#}

<L>19506<pc>1-238-c<k1>upacAyitva<k2>°upacAyitva	{#°upacAyitva#}

<L>19507<pc>1-238-c<k1>upacAyin<k2>°upacAyin	{#°upacAyin#}

<L>19517<pc>1-238-c<k1>upacArika<k2>°upacArika	{#°upacArika#}

<L>19602<pc>1-239-c<k1>upadigDatA<k2>°upadigDatA	{#°upadigDatA#}

<L>19631<pc>1-240-a<k1>upadehavant<k2>°upadehavant	{#°upadehavant#}

<L>19648<pc>1-240-b<k1>upaDAyin<k2>°upaDAyin	{#°upaDAyin#}

<L>19690<pc>1-240-c<k1>upanipAtin<k2>°upanipAtin	{#°upanipAtin#}

<L>19693<pc>1-241-a<k1>upaniBa<k2>°upaniBa	{#°upaniBa#}

<L>19698<pc>1-241-a<k1>upaniveSin<k2>°upaniveSin	{#°upaniveSin#}

<L>19713<pc>1-241-a<k1>upanyAsam<k2>°upanyAsam	{#°upanyAsam#}

<L>19731<pc>1-241-b<k1>upapAtin<k2>°upapAtin	{#°upapAtin#}

<L>19785<pc>1-242-a<k1>upaBogin<k2>°upaBogin	{#°upaBogin#}

<L>19788<pc>1-242-a<k1>upaBojya<k2>°upaBojya	{#°upaBojya#}

<L>19801<pc>1-242-a<k1>upamardin<k2>°upamardin	{#°upamardin#}

<L>19880<pc>1-243-a<k1>uparicihnita<k2>°uparicihnita	{#°uparicihnita#}

<L>19928<pc>1-243-c<k1>uparoDin<k2>°uparoDin	{#°uparoDin#}

<L>20001<pc>1-244-b<k1>upavAhin<k2>°upavAhin	{#°upavAhin#}

<L>20025<pc>1-244-c<k1>upaveSin<k2>°upaveSin	{#°upaveSin#}

<L>20158<pc>1-246-b<k1>upasevaka<k2>°upasevaka	{#°upasevaka#}

<L>20161<pc>1-246-b<k1>upasevin<k2>°upasevin	{#°upasevin#}

<L>20210<pc>1-247-a<k1>upasparSin<k2>°upasparSin	{#°upasparSin#}

<L>20249<pc>1-247-b<k1>upahAsin<k2>°upahAsin	{#°upahAsin#}

<L>20745<pc>1-253-b<k1>ulUKalika<k2>°ulUKalika	{#°ulUKalika#}

<L>20772<pc>1-253-c<k1>ullambin<k2>°ullambin	{#°ullambin#}

<L>21883<pc>1-267-c<k1>ekamaya<k2>°ekamaya	{#°ekamaya#}

<L>22177<pc>1-271-b<k1>ejaya<k2>°ejaya	{#°ejaya#}

<L>22953<pc>1-280-a<k1>OpayOgika<k2>°OpayOgika	{#°OpayOgika#}

<L>24779<pc>2-024-a<k1>karizRu<k2>°karizRu	{#°karizRu#}

<L>25193<pc>2-029-a<k1>karmakArin<k2>°karmakArin	{#°karmakArin#}

<L>26786<pc>2-052-a<k1>kAraRakAritam<k2>°kAraRakAritam	{#°kAraRakAritam#}

<L>27419<pc>2-060-a<k1>kAlIna<k2>°kAlIna	{#°kAlIna#}

<L>29292<pc>2-083-a<k1>kulIya<k2>°kulIya	{#°kulIya#}

<L>29307<pc>2-083-b<k1>kuleya<k2>°kuleya	{#°kuleya#}

<L>31161<pc>2-104-c<k1>kolAhalin<k2>°kolAhalin	{#°kolAhalin#}

<L>32324<pc>2-121-c<k1>kzapASaya<k2>°kzapASaya	{#°kzapASaya#}

<L>32391<pc>2-123-a<k1>kzaraka<k2>°kzaraka	{#°kzaraka#}

<L>32484<pc>2-124-b<k1>kzit<k2>°kzit	{#°kzit#}

<L>33954<pc>2-143-a<k1>KyApaka<k2>°KyApaka	{#°KyApaka#}

<L>33957<pc>2-143-a<k1>KyApin<k2>°KyApin	{#°KyApin#}

<L>34360<pc>2-148-a<k1>gat<k2>°gat	{#°gat#}

<L>34362<pc>2-148-a<k1>gataka<k2>°gataka	{#°gataka#}

<L>35012<pc>2-159-c<k1>garhin<k2>°garhin	{#°garhin#}

<L>35131<pc>2-161-b<k1>gaveza<k2>°gaveza	{#°gaveza#}

<L>35305<pc>2-164-b<k1>gAmika<k2>°gAmika	{#°gAmika#}

<L>35892<pc>2-172-a<k1>gumPaka<k2>°gumPaka	{#°gumPaka#}

<L>36193<pc>2-176-a<k1>gfh<k2>°gfh	{#°gfh#}

<L>36680<pc>2-181-c<k1>gopAya<k2>°gopAya	{#°gopAya#}

<L>37695<pc>2-196-b<k1>Gawitatva<k2>°Gawitatva	{#°Gawitatva#}

<L>37944<pc>2-199-c<k1>GutkAravant<k2>°GutkAravant	{#°GutkAravant#}

<L>38157<pc>2-202-b<k1>Gna<k2>°Gna	{#°Gna#}

<L>38158<pc>2-202-b<k1>GnI<k2>°GnI	{#°GnI#}

<L>38793<pc>2-210-c<k1>catuzkin<k2>°catuzkin	{#°catuzkin#}

<L>39295<pc>2-218-b<k1>caritamaya<k2>°caritamaya	{#°caritamaya#}

<L>39306<pc>2-218-c<k1>caritrita<k2>°caritrita	{#°caritrita#}

<L>40188<pc>2-231-b<k1>cintAkArin<k2>°cintAkArin	{#°cintAkArin#}

<L>40207<pc>2-231-c<k1>cintin<k2>°cintin	{#°cintin#}

<L>40458<pc>2-234-c<k1>cumbin<k2>°cumbin	{#°cumbin#}

<L>40734<pc>2-238-c<k1>copaka<k2>°copaka	{#°copaka#}

<L>40889<pc>2-241-b<k1>Cadi<k2>°Cadi	{#°Cadi#}

<L>40890<pc>2-241-b<k1>Cadin<k2>°Cadin	{#°Cadin#}

<L>40898<pc>2-241-c<k1>CadmasTita<k2>°CadmasTita	{#°CadmasTita#}

<L>40900<pc>2-241-c<k1>Cadmin<k2>°Cadmin	{#°Cadmin#}

<L>41120<pc>2-245-a<k1>Cida<k2>°Cida	{#°Cida#}

<L>41174<pc>2-245-c<k1>CuraRa<k2>°CuraRa	{#°CuraRa#}

<L>41188<pc>2-246-a<k1>Cedaka<k2>°Cedaka	{#°Cedaka#}

<L>41620<pc>2-252-b<k1>janmakara<k2>°janmakara	{#°janmakara#}

<L>41643<pc>2-252-c<k1>janmaprada<k2>°janmaprada	{#°janmaprada#}

