<L>16<pc>1-001-a<k1>aMSay<k2>*aMSay	*!√{#aMSay#}
<L>40470<pc>2-234-c<k1>cul<k2>*cul	*√{#cul#}

<L>40481<pc>2-235-a<k1>culump<k2>*culump	*√{#culump#}

<L>40485<pc>2-235-a<k1>cull<k2>*cull	*√{#cull#}

<L>40522<pc>2-235-c<k1>cUR<k2>*cUR	*√{#cUR#}

<L>40578<pc>2-236-b<k1>cet<k2>*cet	*√{#cet#}

<L>40598<pc>2-236-c<k1>cetAy<k2>*cetAy	*!√{#cetAy#}

<L>40622<pc>2-237-a<k1>cel<k2>*cel	*√{#cel#}

<L>40636<pc>2-237-b<k1>cell<k2>*cell	*√{#cell#}

<L>40970<pc>2-242-b<k1>Cam<k2>*Cam	*√{#Cam#}

<L>40974<pc>2-242-b<k1>Camp<k2>*Camp	*√{#Camp#}

<L>40994<pc>2-242-c<k1>Carp<k2>*Carp	*√{#Carp#}

<L>41014<pc>2-243-a<k1>Caz<k2>*Caz	*√{#Caz#}

<L>41136<pc>2-245-a<k1>CidrApay<k2>*CidrApay	*!√{#CidrApay#}

<L>41170<pc>2-245-b<k1>Cup<k2>*Cup	*√{#Cup#}

<L>41207<pc>2-246-a<k1>Cyu<k2>*Cyu	*√{#Cyu#}

<L>41210<pc>2-246-b<k1>jaMs<k2>*jaMs	*√{#jaMs#}

<L>41250<pc>2-246-c<k1>jagaty<k2>*jagaty	*!√{#jagaty#}

<L>41339<pc>2-248-a<k1>jaNkz<k2>*jaNkz	*√{#jaNkz#}

<L>41368<pc>2-248-b<k1>jaj<k2>*jaj	*√{#jaj#}

<L>41379<pc>2-248-b<k1>jaw<k2>*jaw	*√{#jaw#}

<L>41493<pc>2-251-a<k1>janagaty<k2>*janagaty	*!√{#janagaty#}

<L>41946<pc>2-257-a<k1>jarc<k2>*jarc	*√{#jarc#}

<L>41947<pc>2-257-a<k1>jarC<k2>*jarC	*√{#jarC#}

<L>41948<pc>2-257-a<k1>jarj<k2>*jarj	*√{#jarj#}

<L>41956<pc>2-257-a<k1>jarJ<k2>*jarJ	*√{#jarJ#}

<L>41963<pc>2-257-a<k1>jarts<k2>*jarts	*√{#jarts#}

<L>42329<pc>2-261-a<k1>jaz<k2>*jaz	*√{#jaz#}

<L>42846<pc>2-268-a<k1>jim<k2>*jim	*√{#jim#}

<L>42849<pc>2-268-a<k1>jiri<k2>*jiri	*√{#jiri#}

<L>42854<pc>2-268-a<k1>jiz<k2>*jiz	*√{#jiz#}

<L>43141<pc>2-272-a<k1>juNg<k2>*juNg	*√{#juNg#}

<L>43143<pc>2-272-a<k1>juYc<k2>*juYc	*√{#juYc#}

<L>43144<pc>2-272-a<k1>juw<k2>*juw	*√{#juw#}

<L>43146<pc>2-272-a<k1>juq<k2>*juq	*√{#juq#}

<L>43148<pc>2-272-a<k1>jut<k2>*jut	*√{#jut#}

<L>43149<pc>2-272-a<k1>jun<k2>*jun	*√{#jun#}

<L>43155<pc>2-272-b<k1>jul<k2>*jul	*√{#jul#}

<L>43201<pc>2-273-a<k1>jUz<k2>*jUz	*√{#jUz#}

<L>43228<pc>2-273-b<k1>jez<k2>*jez	*√{#jez#}

<L>43423<pc>2-277-a<k1>jYAnIy<k2>*jYAnIy	*!√{#jYAnIy#}

<L>43446<pc>2-277-b<k1>jYOdAnIy<k2>*jYOdAnIy	*!√{#jYOdAnIy#}

<L>43463<pc>2-277-b<k1>jyApay<k2>*jyApay	*!√{#jyApay#}

<L>43478<pc>2-277-c<k1>jyu<k2>*jyu	*√{#jyu#}

<L>43526<pc>2-278-b<k1>jyo<k2>*jyo	*√{#jyo#}

<L>43705<pc>2-281-a<k1>Jam<k2>*Jam	*√{#Jam#}

<L>43738<pc>2-281-b<k1>Jaz<k2>*Jaz	*√{#Jaz#}

<L>43783<pc>2-282-a<k1>JUz<k2>*JUz	*√{#JUz#}

<L>43787<pc>2-282-a<k1>Jyu<k2>*Jyu	*√{#Jyu#}

<L>43836<pc>2-282-c<k1>wik<k2>*wik	*√{#wik#}

<L>43849<pc>2-282-c<k1>wip<k2>*wip	*√{#wip#}

<L>43878<pc>2-283-a<k1>wOk<k2>*wOk	*√{#wOk#}

<L>43880<pc>2-283-a<k1>wval<k2>*wval	*√{#wval#}

<L>43899<pc>2-283-b<k1>qap<k2>*qap	*√{#qap#}

<L>43907<pc>2-283-b<k1>qamp<k2>*qamp	*√{#qamp#}

<L>43913<pc>2-283-b<k1>qamB<k2>*qamB	*√{#qamB#}

<L>43953<pc>2-284-a<k1>qip<k2>*qip	*√{#qip#}

<L>43960<pc>2-284-a<k1>qimB<k2>*qimB	*√{#qimB#}

<L>44082<pc>3-002-a<k1>taNg<k2>*taNg	*√{#taNg#}

<L>44094<pc>3-002-a<k1>taYj<k2>*taYj	*√{#taYj#}

<L>44135<pc>3-002-c<k1>taRq<k2>*taRq	*√{#taRq#}

<L>44463<pc>3-008-c<k1>tantasy<k2>*tantasy	*!√{#tantasy#}

<L>44744<pc>3-013-b<k1>tamb<k2>*tamb	*√{#tamb#}

<L>44777<pc>3-015-b<k1>taraRy<k2>*taraRy	*!√{#taraRy#}

<L>44820<pc>3-015-c<k1>tariRy<k2>*tariRy	*!√{#tariRy#}

<L>44935<pc>3-017-a<k1>tarkz<k2>*tarkz	*√{#tarkz#}

<L>44967<pc>3-018-a<k1>tarP<k2>*tarP	*√{#tarP#}

<L>44968<pc>3-018-a<k1>tarb<k2>*tarb	*√{#tarb#}

<L>45637<pc>3-027-a<k1>tik<k2>*tik	*√{#tik#}

<L>45669<pc>3-027-b<k1>tig<k2>*tig	*√{#tig#}

<L>45705<pc>3-027-c<k1>tiG<k2>*tiG	*√{#tiG#}

<L>45767<pc>3-028-b<k1>tip<k2>*tip	*√{#tip#}

<L>45835<pc>3-029-b<k1>tirasy<k2>*tirasy	*!√{#tirasy#}

<L>45989<pc>3-031-b<k1>till<k2>*till	*√{#till#}

<L>46010<pc>3-031-b<k1>tIk<k2>*tIk	*√{#tIk#}

<L>46064<pc>3-032-b<k1>tIm<k2>*tIm	*√{#tIm#}

<L>46131<pc>3-033-a<k1>tIv<k2>*tIv	*√{#tIv#}

<L>46217<pc>3-034-b<k1>tuw<k2>*tuw	*√{#tuw#}

<L>46221<pc>3-034-b<k1>tuq<k2>*tuq	*√{#tuq#}

<L>46224<pc>3-034-b<k1>tuqq<k2>*tuqq	*√{#tuqq#}

<L>46225<pc>3-034-b<k1>tuR<k2>*tuR	*√{#tuR#}

<L>46227<pc>3-034-b<k1>tuRq<k2>*tuRq	*√{#tuRq#}

<L>46247<pc>3-034-c<k1>tutTay<k2>*tutTay	*!√{#tutTay#}

<L>46254<pc>3-035-a<k1>tund<k2>*tund	*√{#tund#}

<L>46273<pc>3-035-a<k1>tup<k2>*tup	*√{#tup#}

<L>46274<pc>3-035-a<k1>tuP<k2>*tuP	*√{#tuP#}

<L>46287<pc>3-035-b<k1>tump<k2>*tump	*√{#tump#}

<L>46288<pc>3-035-b<k1>tumP<k2>*tumP	*√{#tumP#}

<L>46289<pc>3-035-b<k1>tumb<k2>*tumb	*√{#tumb#}

<L>46369<pc>3-036-b<k1>turIy<k2>*turIy	*!√{#turIy#}

<L>46541<pc>3-038-c<k1>tus<k2>*tus	*√{#tus#}

<L>46543<pc>3-038-c<k1>tuh<k2>*tuh	*√{#tuh#}

<L>46561<pc>3-039-a<k1>tUq<k2>*tUq	*√{#tUq#}

<L>46562<pc>3-039-a<k1>tUR<k2>*tUR	*√{#tUR#}

<L>46617<pc>3-039-b<k1>tUl<k2>*tUl	*√{#tUl#}

<L>46639<pc>3-039-c<k1>tUz<k2>*tUz	*√{#tUz#}

<L>46805<pc>3-041-b<k1>tfpAy<k2>*tfpAy	*!√{#tfpAy#}

<L>46810<pc>3-041-b<k1>tfptAy<k2>*tfptAy	*!√{#tfptAy#}

<L>46857<pc>3-042-a<k1>tej<k2>*tej	*√{#tej#}

<L>46917<pc>3-042-c<k1>tep<k2>*tep	*√{#tep#}

<L>46924<pc>3-042-c<k1>tev<k2>*tev	*√{#tev#}

<L>47045<pc>3-044-a<k1>toq<k2>*toq	*√{#toq#}

<L>47211<pc>3-046-b<k1>traMs<k2>*traMs	*√{#traMs#}

<L>47216<pc>3-046-b<k1>trand<k2>*trand	*√{#trand#}

<L>47419<pc>3-049-b<k1>triNK<k2>*triNK	*√{#triNK#}

<L>48100<pc>3-057-c<k1>trOk<k2>*trOk	*√{#trOk#}

<L>48239<pc>3-059-b<k1>tvaYc<k2>*tvaYc	*√{#tvaYc#}

<L>48251<pc>3-059-c<k1>tvady<k2>*tvady	*!√{#tvady#}

<L>48264<pc>3-059-c<k1>tvarAyasy<k2>*tvarAyasy	*!√{#tvarAyasy#}

<L>48333<pc>3-060-c<k1>Tarv<k2>*Tarv	*√{#Tarv#}

<L>48335<pc>3-060-c<k1>Tuq<k2>*Tuq	*√{#Tuq#}

<L>48389<pc>3-061-b<k1>daMh<k2>*daMh	*√{#daMh#}

<L>48553<pc>3-063-c<k1>daNG<k2>*daNG	*√{#daNG#}

<L>48756<pc>3-066-c<k1>daD<k2>*daD	*√{#daD#}

<L>48811<pc>3-067-a<k1>daDisy<k2>*daDisy	*!√{#daDisy#}

<L>48826<pc>3-067-b<k1>daDyasy<k2>*daDyasy	*!√{#daDyasy#}

<L>48972<pc>3-069-a<k1>danv<k2>*danv	*√{#danv#}

<L>48989<pc>3-069-b<k1>damadamAy<k2>*damadamAy	*!√{#damadamAy#}

<L>49095<pc>3-071-b<k1>darP<k2>*darP	*√{#darP#}

<L>49633<pc>3-081-a<k1>dAn<k2>*dAn	*√{#dAn#}

<L>49734<pc>3-082-b<k1>dAmalihy<k2>*dAmalihy	*!√{#dAmalihy#}

<L>49756<pc>3-082-c<k1>dAy<k2>*dAy	*!√{#dAy#}

<L>50238<pc>3-088-a<k1>dinv<k2>*dinv	*√{#dinv#}

<L>50239<pc>3-088-b<k1>dip<k2>*dip	*√{#dip#}

<L>50242<pc>3-088-b<k1>dimp<k2>*dimp	*√{#dimp#}

<L>50243<pc>3-088-b<k1>dimB<k2>*dimB	*√{#dimB#}

<L>50358<pc>3-089-c<k1>divy<k2>*divy	*!√{#divy#}

<L>50819<pc>3-097-c<k1>duHKy<k2>*duHKy	*!√{#duHKy#}

<L>50942<pc>3-099-a<k1>duray<k2>*duray	*!√{#duray#}

<L>51202<pc>3-102-a<k1>durdinAy<k2>*durdinAy	*!√{#durdinAy#}

<L>51367<pc>3-104-b<k1>durv<k2>*durv	*√{#durv#}

<L>51486<pc>3-105-c<k1>dulay<k2>*dulay	*!√{#dulay#}

<L>51605<pc>3-107-a<k1>duzwIy<k2>*duzwIy	*!√{#duzwIy#}

<L>52076<pc>3-113-a<k1>dfzady<k2>*dfzady	*!√{#dfzady#}

<L>53325<pc>3-127-c<k1>dravaty<k2>*dravaty	*!√{#dravaty#}

<L>53337<pc>3-127-c<k1>dravasy<k2>*dravasy	*!√{#dravasy#}

<L>53353<pc>3-128-a<k1>draviRIy<k2>*draviRIy	*!√{#draviRIy#}

<L>53408<pc>3-128-c<k1>drAK<k2>*drAK	*√{#drAK#}

<L>53410<pc>3-128-c<k1>drAG<k2>*drAG	*√{#drAG#}

<L>53418<pc>3-129-a<k1>drANkz<k2>*drANkz	*√{#drANkz#}

<L>53441<pc>3-129-b<k1>drAh<k2>*drAh	*√{#drAh#}

<L>53457<pc>3-130-a<k1>druq<k2>*druq	*√{#druq#}

<L>53458<pc>3-130-a<k1>druR<k2>*druR	*√{#druR#}

<L>53511<pc>3-130-c<k1>drumm<k2>*drumm	*√{#drumm#}

<L>53529<pc>3-131-a<k1>drUq<k2>*drUq	*√{#drUq#}

<L>53639<pc>3-132-b<k1>dvar<k2>*dvar	*√{#dvar#}

<L>54342<pc>3-140-b<k1>Dakk<k2>*Dakk	*√{#Dakk#}

<L>54351<pc>3-140-b<k1>DaR<k2>*DaR	*√{#DaR#}

<L>54464<pc>3-141-c<k1>DanIy<k2>*DanIy	*!√{#DanIy#}

<L>54658<pc>3-146-a<k1>Darj<k2>*Darj	*√{#Darj#}

<L>54668<pc>3-146-b<k1>Darm<k2>*Darm	*√{#Darm#}

<L>54953<pc>3-149-c<k1>DarmAy<k2>*DarmAy	*!√{#DarmAy#}

<L>55379<pc>3-160-c<k1>Dikz<k2>*Dikz	*√{#Dikz#}

<L>55387<pc>3-160-c<k1>Diy<k2>*Diy	*!√{#Diy#}

<L>55644<pc>3-165-a<k1>DUr<k2>*DUr	*√{#DUr#}

<L>55698<pc>3-165-b<k1>DUs<k2>*DUs	*√{#DUs#}

<L>55822<pc>3-167-b<k1>Dor<k2>*Dor	*√{#Dor#}

<L>55866<pc>3-167-c<k1>DmANkz<k2>*DmANkz	*√{#DmANkz#}

<L>55932<pc>3-168-c<k1>DraR<k2>*DraR	*√{#DraR#}

<L>55933<pc>3-168-c<k1>Dras<k2>*Dras	*√{#Dras#}

<L>55934<pc>3-168-c<k1>DrA<k2>*DrA	*√{#DrA#}

<L>55937<pc>3-168-c<k1>DrAG<k2>*DrAG	*√{#DrAG#}

<L>55938<pc>3-169-a<k1>DrANkz<k2>*DrANkz	*√{#DrANkz#}

<L>55943<pc>3-169-a<k1>DrAq<k2>*DrAq	*√{#DrAq#}

<L>55946<pc>3-169-a<k1>Drij<k2>*Drij	*√{#Drij#}

<L>55954<pc>3-169-a<k1>Druv<k2>*Druv	*√{#Druv#}

<L>55999<pc>3-169-c<k1>Drek<k2>*Drek	*√{#Drek#}

<L>56049<pc>3-170-c<k1>DvaYj<k2>*DvaYj	*√{#DvaYj#}

<L>56050<pc>3-170-c<k1>DvaR<k2>*DvaR	*√{#DvaR#}

<L>56113<pc>3-171-b<k1>DvraR<k2>*DvraR	*√{#DvraR#}

<L>56148<pc>3-172-b<k1>nakk<k2>*nakk	*√{#nakk#}

<L>56241<pc>3-173-b<k1>naK<k2>*naK	*√{#naK#}

<L>56371<pc>3-174-c<k1>naNK<k2>*naNK	*√{#naNK#}

<L>56376<pc>3-174-c<k1>naj<k2>*naj	*√{#naj#}

<L>56406<pc>3-175-a<k1>naq<k2>*naq	*√{#naq#}

<L>56618<pc>3-178-b<k1>nandy<k2>*nandy	*!√{#nandy#}

<L>56745<pc>3-181-a<k1>namb<k2>*namb	*√{#namb#}

<L>56755<pc>3-181-a<k1>nay<k2>*nay	*!√{#nay#}

<L>56982<pc>3-184-a<k1>narb<k2>*narb	*√{#narb#}

<L>57011<pc>3-184-b<k1>nal<k2>*nal	*√{#nal#}

<L>58100<pc>3-198-c<k1>nAvy<k2>*nAvy	*!√{#nAvy#}

<L>58631<pc>3-205-c<k1>ninv<k2>*ninv	*√{#ninv#}

<L>59359<pc>3-216-a<k1>nirDAway<k2>*nirDAway	*!√{#nirDAway#}

<L>59737<pc>3-221-a<k1>nil<k2>*nil	*√{#nil#}

<L>60022<pc>3-224-c<k1>niz<k2>*niz	*√{#niz#}

<L>60086<pc>3-225-c<k1>nizkay<k2>*nizkay	*!√{#nizkay#}

<L>60538<pc>3-233-b<k1>nIcy<k2>*nIcy	*!√{#nIcy#}

<L>60799<pc>3-236-c<k1>nIv<k2>*nIv	*√{#nIv#}

<L>60821<pc>3-237-a<k1>nIhArAy<k2>*nIhArAy	*!√{#nIhArAy#}

<L>60830<pc>3-237-b<k1>nuq<k2>*nuq	*√{#nuq#}

<L>61146<pc>3-241-b<k1>nez<k2>*nez	*√{#nez#}

<L>61592<pc>4-001-c<k1>pakz<k2>*pakz	*√{#pakz#}

<L>61793<pc>4-004-c<k1>paYc<k2>*paYc	*√{#paYc#}

<L>62224<pc>4-010-a<k1>paYj<k2>*paYj	*√{#paYj#}

<L>62247<pc>4-010-c<k1>pawapawAy<k2>*pawapawAy	*!√{#pawapawAy#}

<L>62251<pc>4-010-c<k1>paway<k2>*paway	*!√{#paway#}

<L>62392<pc>4-012-c<k1>paRasy<k2>*paRasy	*!√{#paRasy#}

<L>62407<pc>4-012-c<k1>paRq<k2>*paRq	*√{#paRq#}

<L>62422<pc>4-013-a<k1>paRqitAy<k2>*paRqitAy	*!√{#paRqitAy#}

<L>62705<pc>4-018-b<k1>paTIn<k2>*paTIn	*√{#paTIn#}

<L>62758<pc>4-022-b<k1>paday<k2>*paday	*!√{#paday#}

<L>63027<pc>4-026-b<k1>panT<k2>*panT	*√{#panT#}

<L>63056<pc>4-026-c<k1>papasy<k2>*papasy	*!√{#papasy#}

<L>63067<pc>4-026-c<k1>pampasy<k2>*pampasy	*!√{#pampasy#}

<L>63069<pc>4-026-c<k1>pamb<k2>*pamb	*√{#pamb#}

<L>63070<pc>4-026-c<k1>pay<k2>*pay	*!√{#pay#}

<L>63086<pc>4-027-a<k1>payaskAmy<k2>*payaskAmy	*!√{#payaskAmy#}

<L>63093<pc>4-027-a<k1>payasy<k2>*payasy	*!√{#payasy#}

<L>63099<pc>4-027-a<k1>payAy<k2>*payAy	*!√{#payAy#}

<L>63892<pc>4-040-a<k1>paridraQay<k2>*paridraQay	*!√{#paridraQay#}

<L>63984<pc>4-041-b<k1>paripucCay<k2>*paripucCay	*!√{#paripucCay#}

<L>64278<pc>4-045-a<k1>parivraQay<k2>*parivraQay	*!√{#parivraQay#}

<L>64338<pc>4-046-a<k1>parizeRay<k2>*parizeRay	*!√{#parizeRay#}

<L>64394<pc>4-047-a<k1>parisAvakIy<k2>*parisAvakIy	*!√{#parisAvakIy#}

<L>64625<pc>4-050-a<k1>parj<k2>*parj	*√{#parj#}

<L>64666<pc>4-050-c<k1>parRay<k2>*parRay	*!√{#parRay#}

<L>64711<pc>4-051-b<k1>parT<k2>*parT	*√{#parT#}

<L>64712<pc>4-051-b<k1>pard<k2>*pard	*√{#pard#}

<L>64726<pc>4-051-b<k1>parb<k2>*parb	*√{#parb#}

<L>64858<pc>4-053-b<k1>parv<k2>*parv	*√{#parv#}

<L>64942<pc>4-054-b<k1>parz<k2>*parz	*√{#parz#}

<L>64953<pc>4-054-b<k1>pal<k2>*pal	*√{#pal#}

<L>65035<pc>4-055-c<k1>pall<k2>*pall	*√{#pall#}

<L>65068<pc>4-056-a<k1>pav<k2>*pav	*√{#pav#}

<L>65296<pc>4-059-c<k1>paz<k2>*paz	*√{#paz#}

<L>65298<pc>4-059-c<k1>pas<k2>*pas	*√{#pas#}

<L>65881<pc>4-068-a<k1>pAday<k2>*pAday	*!√{#pAday#}

<L>66045<pc>4-070-a<k1>pApakfty<k2>*pApakfty	*!√{#pApakfty#}

<L>66122<pc>4-070-c<k1>pApAy<k2>*pApAy	*!√{#pApAy#}

<L>66698<pc>4-079-a<k1>piMs<k2>*piMs	*√{#piMs#}

<L>66785<pc>4-080-c<k1>piC<k2>*piC	*√{#piC#}

<L>66818<pc>4-081-a<k1>piW<k2>*piW	*√{#piW#}

<L>67155<pc>4-085-c<k1>pil<k2>*pil	*√{#pil#}

<L>67430<pc>4-090-a<k1>pIl<k2>*pIl	*√{#pIl#}

<L>67444<pc>4-090-b<k1>pIv<k2>*pIv	*√{#pIv#}

<L>67541<pc>4-091-b<k1>puC<k2>*puC	*√{#puC#}

<L>67579<pc>4-092-a<k1>puww<k2>*puww	*√{#puww#}

<L>67580<pc>4-092-a<k1>puq<k2>*puq	*√{#puq#}

<L>67581<pc>4-092-a<k1>puR<k2>*puR	*√{#puR#}

<L>67584<pc>4-092-a<k1>puRw<k2>*puRw	*√{#puRw#}

<L>67585<pc>4-092-a<k1>puRq<k2>*puRq	*√{#puRq#}

<L>67931<pc>4-096-c<k1>punT<k2>*punT	*√{#punT#}

<L>68083<pc>4-099-a<k1>purARy<k2>*purARy	*!√{#purARy#}

<L>68126<pc>4-099-b<k1>purIzay<k2>*purIzay	*!√{#purIzay#}

<L>68432<pc>4-103-a<k1>pul<k2>*pul	*√{#pul#}

<L>68742<pc>4-107-c<k1>pus<k2>*pus	*√{#pus#}

<L>68743<pc>4-107-c<k1>pust<k2>*pust	*√{#pust#}

<L>68753<pc>4-108-b<k1>pUHkAmy<k2>*pUHkAmy	*!√{#pUHkAmy#}

<L>68790<pc>4-109-a<k1>pUR<k2>*pUR	*√{#pUR#}

<L>69019<pc>4-112-a<k1>pUrv<k2>*pUrv	*√{#pUrv#}

<L>69305<pc>4-115-c<k1>pUl<k2>*pUl	*√{#pUl#}

<L>69312<pc>4-115-c<k1>pUz<k2>*pUz	*√{#pUz#}

<L>69722<pc>4-120-c<k1>peR<k2>*peR	*√{#peR#}

<L>69726<pc>4-120-c<k1>peb<k2>*peb	*√{#peb#}

<L>69739<pc>4-121-a<k1>pel<k2>*pel	*√{#pel#}

<L>69746<pc>4-121-a<k1>pev<k2>*pev	*√{#pev#}

<L>69767<pc>4-121-b<k1>pez<k2>*pez	*√{#pez#}

<L>69783<pc>4-121-b<k1>pes<k2>*pes	*√{#pes#}

<L>69824<pc>4-121-c<k1>pER<k2>*pER	*√{#pER#}

<L>69897<pc>4-122-c<k1>powAy<k2>*powAy	*!√{#powAy#}

<L>70197<pc>4-126-b<k1>pyuz<k2>*pyuz	*√{#pyuz#}

<L>70198<pc>4-126-b<k1>pyus<k2>*pyus	*√{#pyus#}

<L>71784<pc>4-149-c<k1>pratIpAy<k2>*pratIpAy	*!√{#pratIpAy#}

<L>72978<pc>4-167-b<k1>prarkzIy<k2>*prarkzIy	*!√{#prarkzIy#}

<L>72981<pc>4-167-b<k1>prarzaBIy<k2>*prarzaBIy	*!√{#prarzaBIy#}

<L>73039<pc>4-168-a<k1>pralkArIy<k2>*pralkArIy	*!√{#pralkArIy#}

<L>73439<pc>4-173-c<k1>pras<k2>*pras	*√{#pras#}

<L>73655<pc>4-177-b<k1>prasnavitrIy<k2>*prasnavitrIy	*!√{#prasnavitrIy#}

<L>74521<pc>4-189-c<k1>prArkzIy<k2>*prArkzIy	*!√{#prArkzIy#}

<L>74542<pc>4-189-c<k1>prArzaBIy<k2>*prArzaBIy	*!√{#prArzaBIy#}

<L>74553<pc>4-190-a<k1>prAlkArIy<k2>*prAlkArIy	*!√{#prAlkArIy#}

<L>74579<pc>4-190-b<k1>prAvArIy<k2>*prAvArIy	*!√{#prAvArIy#}

<L>74673<pc>4-191-b<k1>prAsAdIy<k2>*prAsAdIy	*!√{#prAsAdIy#}

<L>74859<pc>4-194-b<k1>pruzwAy<k2>*pruzwAy	*!√{#pruzwAy#}

<L>74861<pc>4-194-b<k1>pruzvAy<k2>*pruzvAy	*!√{#pruzvAy#}

<L>74864<pc>4-194-b<k1>prekIy<k2>*prekIy	*!√{#prekIy#}

<L>74897<pc>4-195-a<k1>preR<k2>*preR	*√{#preR#}

<L>75015<pc>4-196-b<k1>prEkIy<k2>*prEkIy	*!√{#prEkIy#}

<L>75016<pc>4-196-b<k1>prER<k2>*prER	*√{#prER#}

<L>75045<pc>4-196-c<k1>proGIy<k2>*proGIy	*!√{#proGIy#}

<L>75107<pc>4-197-b<k1>prOGIy<k2>*prOGIy	*!√{#prOGIy#}

<L>75129<pc>4-197-c<k1>plakz<k2>*plakz	*√{#plakz#}

<L>75144<pc>4-197-c<k1>plab<k2>*plab	*√{#plab#}

<L>75178<pc>4-198-b<k1>plih<k2>*plih	*√{#plih#}

<L>75180<pc>4-198-b<k1>plI<k2>*plI	*√{#plI#}

<L>75203<pc>4-199-c<k1>pluzwAy<k2>*pluzwAy	*!√{#pluzwAy#}

<L>75204<pc>4-199-c<k1>plus<k2>*plus	*√{#plus#}

<L>75206<pc>4-199-c<k1>plev<k2>*plev	*√{#plev#}

<L>75290<pc>4-200-c<k1>Parv<k2>*Parv	*√{#Parv#}

<L>75484<pc>4-203-b<k1>PalP<k2>*PalP	*√{#PalP#}

<L>75590<pc>4-204-c<k1>Pel<k2>*Pel	*√{#Pel#}

<L>75651<pc>4-205-b<k1>bad<k2>*bad	*√{#bad#}

<L>75751<pc>4-206-b<k1>band<k2>*band	*√{#band#}

<L>75854<pc>4-209-b<k1>bamb<k2>*bamb	*√{#bamb#}

<L>75870<pc>4-209-c<k1>barb<k2>*barb	*√{#barb#}

<L>76163<pc>4-214-a<k1>bahay<k2>*bahay	*!√{#bahay#}

<L>76603<pc>4-219-b<k1>bAq<k2>*bAq	*√{#bAq#}

<L>76988<pc>4-224-c<k1>biw<k2>*biw	*√{#biw#}

<L>76991<pc>4-224-c<k1>biq<k2>*biq	*√{#biq#}

<L>77071<pc>4-225-c<k1>bil<k2>*bil	*√{#bil#}

<L>77118<pc>4-226-b<k1>biS<k2>*biS	*√{#biS#}

<L>77122<pc>4-226-b<k1>bis<k2>*bis	*√{#bis#}

<L>77206<pc>4-227-b<k1>bIB<k2>*bIB	*√{#bIB#}

<L>77218<pc>4-227-c<k1>bukk<k2>*bukk	*√{#bukk#}

<L>77227<pc>4-227-c<k1>buNg<k2>*buNg	*√{#buNg#}

<L>77228<pc>4-227-c<k1>buw<k2>*buw	*√{#buw#}

<L>77229<pc>4-227-c<k1>buq<k2>*buq	*√{#buq#}

<L>77232<pc>4-227-c<k1>bud<k2>*bud	*√{#bud#}

<L>77362<pc>4-230-a<k1>bunD<k2>*bunD	*√{#bunD#}

<L>77387<pc>4-230-b<k1>bus<k2>*bus	*√{#bus#}

<L>77390<pc>4-230-b<k1>bust<k2>*bust	*√{#bust#}

<L>77656<pc>4-233-b<k1>beS<k2>*beS	*√{#beS#}

<L>77777<pc>4-235-a<k1>brahm<k2>*brahm	*√{#brahm#}

<L>78627<pc>4-248-a<k1>BaRw<k2>*BaRw	*√{#BaRw#}

<L>78879<pc>4-252-a<k1>BaraRy<k2>*BaraRy	*!√{#BaraRy#}

<L>79001<pc>4-253-b<k1>Ball<k2>*Ball	*√{#Ball#}

<L>79795<pc>4-265-c<k1>Bikzy<k2>*Bikzy	*!√{#Bikzy#}

<L>79870<pc>4-267-c<k1>Bil<k2>*Bil	*√{#Bil#}

<L>80136<pc>4-271-b<k1>BuRq<k2>*BuRq	*√{#BuRq#}

<L>80820<pc>4-282-b<k1>BfRIy<k2>*BfRIy	*!√{#BfRIy#}

<L>80843<pc>4-282-c<k1>BfS<k2>*BfS	*√{#BfS#}

<L>80913<pc>4-284-a<k1>Bez<k2>*Bez	*√{#Bez#}

<L>81169<pc>4-288-a<k1>Brakz<k2>*Brakz	*√{#Brakz#}

<L>81177<pc>4-288-a<k1>Braq<k2>*Braq	*√{#Braq#}

<L>81178<pc>4-288-a<k1>BraR<k2>*BraR	*√{#BraR#}

<L>81209<pc>4-289-a<k1>BramAy<k2>*BramAy	*!√{#BramAy#}

<L>81289<pc>4-290-a<k1>BrAS<k2>*BrAS	*√{#BrAS#}

<L>81308<pc>4-290-b<k1>Bruq<k2>*Bruq	*√{#Bruq#}

<L>81319<pc>4-290-b<k1>BrUR<k2>*BrUR	*√{#BrUR#}

<L>81335<pc>4-290-c<k1>Brej<k2>*Brej	*√{#Brej#}

<L>81341<pc>4-290-c<k1>Blakz<k2>*Blakz	*√{#Blakz#}

<L>81342<pc>4-290-c<k1>BlAS<k2>*BlAS	*√{#BlAS#}

<L>81343<pc>4-290-c<k1>BlAs<k2>*BlAs	*√{#BlAs#}

